size_kb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
500,4,2,27,0.000776,0.000099,0.000110,0.000128,0.000276,0.000290
500,4,2,28,0.000771,0.000093,0.000100,0.000094,0.000285,0.000292
500,4,2,29,0.000770,0.000102,0.000100,0.000097,0.000265,0.000300
500,4,2,30,0.000786,0.000176,0.000097,0.000145,0.000290,0.000287
500,4,2,31,0.000800,0.000097,0.000131,0.000091,0.000255,0.000271
500,8,4,1,0.001438,0.000171,0.000105,0.000105,0.000343,0.000341
500,8,4,2,0.001476,0.000106,0.000122,0.000101,0.000328,0.000333
500,8,4,3,0.001459,0.000095,0.000125,0.000096,0.000322,0.000334
500,8,4,4,0.001468,0.000099,0.000115,0.000144,0.000338,0.000355
500,8,4,5,0.001441,0.000141,0.000098,0.000098,0.000340,0.000340
500,8,4,6,0.001443,0.000103,0.000099,0.000103,0.000421,0.000349
500,8,4,7,0.001445,0.000108,0.000148,0.000093,0.000316,0.000407
500,8,4,8,0.001461,0.000108,0.000114,0.000106,0.000335,0.000391
500,8,4,9,0.001513,0.000106,0.000134,0.000089,0.000331,0.000316
500,8,4,10,0.001435,0.000119,0.000126,0.000097,0.000320,0.000342
500,8,4,11,0.001466,0.000103,0.000127,0.000092,0.000318,0.000323
500,8,4,12,0.001449,0.000130,0.000100,0.000101,0.000335,0.000360
500,8,4,13,0.001463,0.000099,0.000113,0.000100,0.000327,0.000336
500,8,4,14,0.001459,0.000104,0.000112,0.000102,0.000335,0.000348
500,8,4,15,0.001472,0.000104,0.000099,0.000106,0.000337,0.000348
500,8,4,16,0.001443,0.000105,0.000101,0.000094,0.000335,0.000348
500,8,4,17,0.001444,0.000104,0.000101,0.000101,0.000359,0.000338
500,8,4,18,0.001449,0.000098,0.000131,0.000094,0.000310,0.000332
500,8,4,19,0.001446,0.000102,0.000130,0.000093,0.000302,0.000376
500,8,4,20,0.001484,0.000101,0.000100,0.000096,0.000344,0.000343
500,8,4,21,0.001454,0.000117,0.000098,0.000101,0.000342,0.000347
500,8,4,22,0.001467,0.000114,0.000110,0.000096,0.000325,0.000342
500,8,4,23,0.001458,0.000100,0.000109,0.000137,0.000349,0.000354
500,8,4,24,0.001469,0.000120,0.000133,0.000093,0.000317,0.000340
500,8,4,25,0.001443,0.000108,0.000098,0.000096,0.000343,0.000343
500,8,4,26,0.001462,0.000100,0.000099,0.000107,0.000341,0.000354
500,8,4,27,0.001445,0.000145,0.000123,0.000100,0.000322,0.000344
500,8,4,28,0.001506,0.000152,0.000103,0.000102,0.000356,0.000339
500,8,4,29,0.001438,0.000153,0.000102,0.000094,0.000343,0.000354
500,8,4,30,0.001450,0.000109,0.000111,0.000111,0.000367,0.000335
500,8,4,31,0.001434,0.000110,0.000113,0.000110,0.000347,0.000344
500,10,4,1,0.001194,0.000197,0.000109,0.000133,0.000324,0.000345
500,10,4,2,0.001212,0.000101,0.000095,0.000106,0.000336,0.000329
500,10,4,3,0.001176,0.000100,0.000086,0.000098,0.000338,0.000337
500,10,4,4,0.001182,0.000097,0.000090,0.000097,0.000326,0.000337
500,10,4,5,0.001183,0.000101,0.000089,0.000092,0.000330,0.000341
500,10,4,6,0.001178,0.000109,0.000093,0.000101,0.000353,0.000337
500,10,4,7,0.001199,0.000102,0.000121,0.000089,0.000302,0.000326
500,10,4,8,0.001180,0.000094,0.000095,0.000106,0.000332,0.000345
500,10,4,9,0.001172,0.000095,0.000099,0.000100,0.000324,0.000335
500,10,4,10,0.001174,0.000145,0.000093,0.000096,0.000333,0.000370
500,10,4,11,0.001245,0.000094,0.000087,0.000084,0.000343,0.000321
500,10,4,12,0.001175,0.000097,0.000115,0.000094,0.000308,0.000324
500,10,4,13,0.001179,0.000115,0.000086,0.000096,0.000330,0.000340
500,10,4,14,0.001172,0.000100,0.000091,0.000105,0.000333,0.000394
500,10,4,15,0.001195,0.000097,0.000128,0.000089,0.000318,0.000310
500,10,4,16,0.001194,0.000096,0.000082,0.000090,0.000344,0.000332
500,10,4,17,0.001183,0.000094,0.000097,0.000105,0.000336,0.000332
