studies,workers,total_dicoms,stage,task,task_count,task_work_seconds,task_work_seconds_per_dicom,mean_chunk_seconds,timing_log
10,32,1620,cloud,verify_in,32,4.120100000000001,0.002543271604938272,0.12875312500000002,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,4,1620,edge,compress_out,4,11.0015,0.006791049382716049,2.750375,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,edge,edge_acquisition,4,15.43,0.009524691358024692,3.8575,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,edge,encode_out,4,24.3692,0.015042716049382716,6.0923,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,edge,encrypt_out,4,7.3956,0.004565185185185185,1.8489,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,edge,integrity_out,4,4.9082,0.003029753086419753,1.22705,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,fog,compress_out,4,11.799900000000001,0.007283888888888889,2.9499750000000002,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,fog,decode_in,4,5.257000000000001,0.003245061728395062,1.3142500000000001,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,fog,decompress_in,4,64.4485,0.03978302469135802,16.112125,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,fog,decrypt_in,4,3.7525,0.002316358024691358,0.938125,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,fog,encode_out,4,45.640299999999996,0.02817302469135802,11.410074999999999,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,fog,encrypt_out,4,20.8318,0.012859135802469137,5.20795,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,fog,fog_preprocessing,4,94.8312,0.05853777777777777,23.7078,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,fog,integrity_out,4,2.0298,0.0012529629629629629,0.50745,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,fog,verify_in,4,2.9584,0.001826172839506173,0.7396,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,cloud,cloud_inference,4,141.5582,0.0873816049382716,35.38955,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,cloud,decode_in,4,6.5502,0.004043333333333334,1.63755,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,cloud,decompress_in,4,3.7542,0.0023174074074074073,0.93855,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,cloud,decrypt_in,4,5.2187,0.0032214197530864197,1.304675,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,4,1620,cloud,verify_in,4,2.1276,0.0013133333333333335,0.5319,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w4/workflow_timing.log
10,8,1620,edge,compress_out,8,7.6164000000000005,0.004701481481481482,0.9520500000000001,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w8/workflow_timing.log
10,8,1620,edge,edge_acquisition,8,19.3613,0.01195141975308642,2.4201625,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w8/workflow_timing.log
10,8,1620,edge,encode_out,8,36.0936,0.02228,4.5117,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w8/workflow_timing.log
10,8,1620,edge,encrypt_out,8,7.1137,0.0043911728395061725,0.8892125,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w8/workflow_timing.log
10,8,1620,edge,integrity_out,8,5.8608,0.003617777777777778,0.7326,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w8/workflow_timing.log
10,8,1620,fog,compress_out,8,70.8615,0.04374166666666667,8.8576875,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w8/workflow_timing.log
10,8,1620,fog,decode_in,8,8.2094,0.005067530864197531,1.026175,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w8/workflow_timing.log
10,8,1620,fog,decompress_in,8,5.989999999999999,0.0036975308641975305,0.7487499999999999,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w8/workflow_timing.log
