algoritmo,size_kb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
SHA3_256,100,22,0.000227,0.000078,0.000019
SHA3_256,100,23,0.000229,0.000081,0.000017
SHA3_256,100,24,0.000229,0.000078,0.000018
SHA3_256,100,25,0.000229,0.000086,0.000019
SHA3_256,100,26,0.000224,0.000080,0.000018
SHA3_256,100,27,0.000223,0.000078,0.000018
SHA3_256,100,28,0.000239,0.000080,0.000018
SHA3_256,100,29,0.000230,0.000082,0.000017
SHA3_256,100,30,0.000224,0.000078,0.000019
SHA3_256,100,31,0.000230,0.000082,0.000018
SHA3_256,500,1,0.001118,0.000301,0.000182
SHA3_256,500,2,0.001108,0.000287,0.000071
SHA3_256,500,3,0.001135,0.000268,0.000064
SHA3_256,500,4,0.001122,0.000262,0.000067
SHA3_256,500,5,0.001120,0.000264,0.000070
SHA3_256,500,6,0.001102,0.000282,0.000069
SHA3_256,500,7,0.001135,0.000264,0.000067
SHA3_256,500,8,0.001110,0.000262,0.000068
SHA3_256,500,9,0.001099,0.000263,0.000068
SHA3_256,500,10,0.001138,0.000286,0.000069
SHA3_256,500,11,0.001106,0.000271,0.000070
SHA3_256,500,12,0.001132,0.000265,0.000068
SHA3_256,500,13,0.001096,0.000266,0.000067
SHA3_256,500,14,0.001123,0.000289,0.000071
SHA3_256,500,15,0.001099,0.000270,0.000067
SHA3_256,500,16,0.001120,0.000267,0.000067
SHA3_256,500,17,0.001118,0.000273,0.000068
SHA3_256,500,18,0.001098,0.000285,0.000070
SHA3_256,500,19,0.001100,0.000262,0.000068
SHA3_256,500,20,0.001096,0.000267,0.000071
SHA3_256,500,21,0.001118,0.000263,0.000068
SHA3_256,500,22,0.001141,0.000288,0.000071
SHA3_256,500,23,0.001100,0.000274,0.000069
SHA3_256,500,24,0.001101,0.000270,0.000068
SHA3_256,500,25,0.001099,0.000266,0.000068
SHA3_256,500,26,0.001091,0.000285,0.000070
SHA3_256,500,27,0.001135,0.000272,0.000070
SHA3_256,500,28,0.001101,0.000262,0.000068
SHA3_256,500,29,0.001100,0.000269,0.000071
SHA3_256,500,30,0.001108,0.000305,0.000074
SHA3_256,500,31,0.001103,0.000265,0.000070
SHA3_256,1000,1,0.002223,0.000547,0.000362
SHA3_256,1000,2,0.002185,0.000555,0.000156
SHA3_256,1000,3,0.002192,0.000535,0.000157
SHA3_256,1000,4,0.002192,0.000555,0.000160
SHA3_256,1000,5,0.002192,0.000552,0.000156
SHA3_256,1000,6,0.002259,0.000547,0.000156
SHA3_256,1000,7,0.002193,0.000519,0.000155
SHA3_256,1000,8,0.002324,0.000583,0.000162
SHA3_256,1000,9,0.002197,0.000541,0.000157
SHA3_256,1000,10,0.002183,0.000553,0.000161
SHA3_256,1000,11,0.002195,0.000559,0.000160
SHA3_256,1000,12,0.002187,0.000559,0.000160
SHA3_256,1000,13,0.002195,0.000521,0.000156
SHA3_256,1000,14,0.002184,0.000576,0.000163
SHA3_256,1000,15,0.002192,0.000524,0.000157
SHA3_256,1000,16,0.002191,0.000553,0.000160
SHA3_256,1000,17,0.002272,0.000530,0.000160
SHA3_256,1000,18,0.002195,0.000550,0.000161
SHA3_256,1000,19,0.002257,0.000527,0.000155
SHA3_256,1000,20,0.002292,0.000547,0.000171
SHA3_256,1000,21,0.002261,0.000530,0.000158
SHA3_256,1000,22,0.002189,0.000559,0.000160
SHA3_256,1000,23,0.002211,0.000521,0.000164
SHA3_256,1000,24,0.002190,0.000558,0.000157
SHA3_256,1000,25,0.002188,0.000525,0.000155
SHA3_256,1000,26,0.002211,0.000556,0.000161
SHA3_256,1000,27,0.002200,0.000540,0.000156
SHA3_256,1000,28,0.002192,0.000548,0.000158
SHA3_256,1000,29,0.002262,0.000537,0.000156
SHA3_256,1000,30,0.002184,0.000549,0.000161
SHA3_256,1000,31,0.002198,0.000535,0.000155
BLAKE3,1,1,0.000020,0.000050,0.000189
BLAKE3,1,2,0.000005,0.000037,0.000013
BLAKE3,1,3,0.000008,0.000035,0.000009
BLAKE3,1,4,0.000007,0.000029,0.000009
BLAKE3,1,5,0.000008,0.000031,0.000009
BLAKE3,1,6,0.000004,0.000031,0.000012
BLAKE3,1,7,0.000004,0.000033,0.000013
BLAKE3,1,8,0.000007,0.000036,0.000009
BLAKE3,1,9,0.000007,0.000036,0.000009
BLAKE3,1,10,0.000007,0.000036,0.000009
BLAKE3,1,11,0.000007,0.000035,0.000009
BLAKE3,1,12,0.000007,0.000035,0.000009
BLAKE3,1,13,0.000007,0.000035,0.000009
BLAKE3,1,14,0.000004,0.000033,0.000014
BLAKE3,1,15,0.000007,0.000031,0.000009
BLAKE3,1,16,0.000008,0.000037,0.000009
