algorithm,size_kb,key_bits,object_id,tiempo_encryption_s,tiempo_decryption_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_enc_s,tiempo_io_read_enc_s
AES,100,256,17,0.000683,0.000722,0.000021,0.000016,0.000025,0.000017
AES,100,256,18,0.000683,0.000713,0.000022,0.000016,0.000025,0.000016
AES,100,256,19,0.000683,0.000732,0.000020,0.000016,0.000027,0.000017
AES,100,256,20,0.000683,0.000699,0.000020,0.000016,0.000026,0.000017
AES,100,256,21,0.000684,0.000710,0.000020,0.000016,0.000028,0.000035
AES,100,256,22,0.000688,0.000714,0.000025,0.000019,0.000034,0.000022
AES,100,256,23,0.000684,0.000737,0.000021,0.000018,0.000028,0.000018
AES,100,256,24,0.000693,0.000718,0.000021,0.000016,0.000037,0.000022
AES,100,256,25,0.000682,0.000723,0.000024,0.000017,0.000028,0.000018
AES,100,256,26,0.000683,0.000713,0.000021,0.000016,0.000027,0.000017
AES,100,256,27,0.000684,0.000716,0.000020,0.000016,0.000028,0.000017
AES,100,256,28,0.000684,0.000715,0.000021,0.000016,0.000025,0.000017
AES,100,256,29,0.000684,0.000708,0.000020,0.000016,0.000025,0.000016
AES,100,256,30,0.000683,0.000712,0.000020,0.000015,0.000026,0.000016
AES,100,256,31,0.000685,0.000710,0.000022,0.000016,0.000028,0.000017
AES,500,128,1,0.002909,0.002880,0.000095,0.000168,0.000193,0.000088
AES,500,128,2,0.002753,0.002829,0.000124,0.000139,0.000196,0.000102
AES,500,128,3,0.002763,0.002751,0.000080,0.000091,0.000158,0.000181
AES,500,128,4,0.002749,0.002750,0.000086,0.000104,0.000166,0.000121
AES,500,128,5,0.002738,0.002838,0.000100,0.000105,0.000192,0.000101
AES,500,128,6,0.002775,0.002753,0.000095,0.000092,0.000150,0.000103
AES,500,128,7,0.002736,0.002761,0.000121,0.000105,0.000150,0.000122
AES,500,128,8,0.002737,0.002828,0.000142,0.000097,0.000188,0.000100
AES,500,128,9,0.002742,0.002837,0.000080,0.000094,0.000176,0.000089
AES,500,128,10,0.002724,0.002874,0.000086,0.000080,0.000180,0.000115
AES,500,128,11,0.002740,0.002751,0.000101,0.000092,0.000165,0.000181
AES,500,128,12,0.002743,0.002861,0.000088,0.000103,0.000187,0.000110
AES,500,128,13,0.002742,0.002792,0.000076,0.000079,0.000167,0.000106
AES,500,128,14,0.002730,0.002759,0.000079,0.000104,0.000155,0.000125
AES,500,128,15,0.002728,0.002787,0.000084,0.000099,0.000180,0.000086
AES,500,128,16,0.002713,0.002819,0.000136,0.000106,0.000158,0.000109
